"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0071621","GO:0071621","granulocyte chemotaxis","60/5716","131/18614",0.000191503324517442,0.00203195771723953,0.00139644077874626,"CX3CL1/DPEP1/EDN1/CXCL2/TGFB2/MAPK1/SRP54/PIK3CG/GBF1/C1QBP/CCL7/CCL2/PF4V1/BST1/MDK/RIPOR2/CCL20/SLAMF1/TNFSF18/NCKAP1L/TNFAIP6/PREX1/CXCL6/IL1B/CCR7/EDN2/ADGRE2/RAC2/LBP/LGALS3/VAV3/C5AR2/ANXA1/THBS1/CXCL9/VAV1/ITGA9/TIRAP/CXADR/MCU/IL34/ITGB2/IL17RC/CXCL3/CXCL1/PPIB/CXCL8/PIK3CD/C3AR1/SCG2/CMKLR1/IL17RA/CSF1R/CAMK1D/CSF1/PIP5K1C/S100A14/HRH1/ITGA1/CCL5",60
"GO:0030010","GO:0030010","establishment of cell polarity","69/5716","155/18614",0.000192267624872003,0.00203670647104939,0.00139970430800775,"CYTH3/PKD1/SPDL1/MAP4/SDCCAG8/TRAF3IP2/ROCK1/CDC42/FSCN1/SPAG5/NDC80/FAT1/MISP/MYH9/FERMT1/LAMA1/SIPA1L3/KANK1/GATA3/GBF1/NHERF1/TCIRG1/RIPOR2/UST/WWC1/AMOTL2/WNT5A/HES1/CENPA/PARD3B/DOCK7/ENKD1/AMOT/CCR7/PLEKHG3/RAP1B/FGF13/MAP1B/SPRY2/CDK5RAP2/KIF20B/PRICKLE1/IGF1R/ABL2/SNX27/PHLDB2/GSN/PARD3/MPP7/ITGB1/FRMD4A/WNT7A/GPSM1/BRSK1/KIF26B/SPRY1/MAD2L1/ARF6/AMOTL1/NDEL1/PLK1/BRSK2/SAPCD2/FBF1/MYO18A/HES5/ALPK2/SIPA1/UBXN2B",69
"GO:1901184","GO:1901184","regulation of ERBB signaling pathway","41/5716","82/18614",0.000197512473266067,0.00208882434720528,0.0014355217499497,"WDR54/RHBDF1/PLAUR/MVP/GPRC5A/PTPN3/PTPN18/CEACAM1/PSEN1/LGMN/NEURL1/AREG/HBEGF/CBLB/RTN4/ERRFI1/EREG/IFI6/HIP1/PTPN12/RHBDF2/HIP1R/AGT/BCAR3/EGF/CDH13/RALB/EGFR/PTPRJ/FER/TGFA/ADORA1/GPER1/AFAP1L2/SH3TC2/HAP1/BTC/EPGN/CADM1/MVB12B/ITGA1",41
"GO:0006809","GO:0006809","nitric oxide biosynthetic process","39/5716","77/18614",0.000198172815897025,0.00209236651267302,0.00143795606453325,"ATP2B4/RORA/PTGS2/EDN1/ARG2/NOS1/CYB5R3/TSPO/ACP5/CAV1/MMP8/PKD2/CLU/IL1B/ASL/KLF2/TICAM1/ASS1/GCH1/P2RX4/AGT/KLF4/TLR4/GCHFR/CYP1B1/AKT1/DDAH1/PTX3/ZC3H12A/NOS3/SMAD3/CLEC7A/CD34/NQO1/CD47/SIRPA/NOS1AP/DDAH2/TNF",39
"GO:0051897","GO:0051897","positive regulation of protein kinase B signaling","55/5716","118/18614",0.000199330532794444,0.00210113987847259,0.00144398546448849,"CX3CL1/IGF1/FERMT2/MYDGF/FGFR1/MAZ/MEIS3/PIK3CG/TGFBR1/ENG/GATA3/C1QBP/IL26/GCNT2/SEMA5A/HBEGF/RTN4/IGFBP5/F3/TEK/CCR7/HIP1/GDF15/CHI3L1/NTS/P2RX4/SPRY2/TXN/THBS1/EGF/IGF1R/ARRB2/HAX1/EGFR/TCF7L2/PTPRJ/ITGB1/IL18/AKR1C2/ANGPT1/PINK1/MYORG/STOX1/RET/IGF2/AXL/PIK3CD/C1QTNF1/GAS6/FAM110C/AKR1C3/SRC/PDGFA/MIR221/TNF",55
"GO:0010765","GO:0010765","positive regulation of sodium ion transport","20/5716","32/18614",0.000200820446995765,0.00211338048147752,0.00145239768539619,"PKP2/ATP1B3/TESC/NOS1/SCN1B/FGF12/ATP1B2/ACTN4/FXYD2/AKT1/ATP1B1/GPD1L/CNKSR3/WNK2/SCN3B/CHP2/GLRX/SCN4B/WNK3/DMD",20
"GO:0072210","GO:0072210","metanephric nephron development","24/5716","41/18614",0.00020341578506025,0.00213719525806766,0.00146876413086159,"PKD1/PDGFB/PDGFRB/HES1/PKD2/EGR1/SOX9/PAX8/LIF/PDGFRA/OSR1/KIF26B/RET/GREM1/GDNF/SIX2/LAMB2/CD34/WT1/HES5/LGR4/AQP1/FMN1/FOXD1",24
"GO:0010927","GO:0010927","cellular component assembly involved in morphogenesis","58/5716","126/18614",0.000205870734500688,0.00215945974362059,0.00148406515572059,"CFLAR/CD9/PHLDB1/MYOM2/GPC1/MEF2A/WDR1/PALS1/ACTN2/EDN1/EPB41L3/RFX2/PLA2G3/SIX4/MYL9/ERCC2/TNNT1/MAG/CNTNAP1/MYH3/PMP22/ACRBP/PDGFRB/OBSL1/FLNC/TMOD2/ITGB4/MYH11/PDGFRA/GARIN1B/TLR2/KNL1/MYPN/TPM1/CASQ1/ACTA1/TMF1/PHLDB2/ANK2/ANKRD1/ITGB1/ADPRHL1/OBSCN/ACTC1/TMOD4/LMOD1/CFL2/MOBP/KRT8/AKAP13/MYOZ2/UGT8/FLII/MYOZ1/PLEC/NEB/ACTG1/NRAP",58
"GO:0043583","GO:0043583","ear development","93/5716","221/18614",0.000211642210635406,0.00221638341105156,0.0015231853252999,"DLX6/IFT88/SLC4A7/MCOLN3/COL11A1/NTN1/MCM2/ITGA8/EDN1/ATP8B1/TGFB2/MYO3A/MAPK1/TRIOBP/SIX4/JAG1/DLX5/GSDME/HOXA2/LHX3/DVL1/GATA3/CDH23/NAGLU/NHERF1/CDKN1B/BMP5/SOBP/TBX18/PDGFRB/WNT5A/HES1/EPHA4/PRRX1/ECE1/PLPPR4/ESRRB/PLS1/RDH10/TBX2/SDC4/SOX9/PAX8/SIX1/MYCN/SPRY2/CCM2/TFAP2A/MYO7A/ADAM10/STRA6/COL2A1/LRIG3/LGR5/OSR1/CCNA2/SHROOM2/FREM2/EDNRA/ZIC3/MAPKAPK2/NEUROD1/MSX1/ADGRV1/FZD6/CTHRC1/STOX1/GBX2/SIX2/KCNK3/FOXG1/GATA2/TSHZ1/FZD2/SOX2/NOG/ALDH1A3/SLITRK6/JAG2/INSIG1/BCR/BLOC1S5/HMX3/MYO6/LRP10/PDGFA/HES5/DLL1/MAFB/DDR1/CEBPD/C1QTNF5/CEBPA",93
"GO:0071222","GO:0071222","cellular response to lipopolysaccharide","94/5716","224/18614",0.000220956878162648,0.0023101670350989,0.00158763709803474,"CX3CL1/TBXA2R/VIM/TNFRSF1B/MAP2K3/TNIP3/SBNO2/CXCL2/MEF2C/MAPK1/XBP1/TSPO/NFKBIA/SLC7A5/RIPK2/LILRB1/CARD8/SERPINE1/CCL2/PF4V1/NFKB1/SASH1/PPARD/WNT5A/PLSCR4/IL1A/KMO/TNFSF4/TNFAIP3/CD274/CXCL6/IL1B/GFER/TICAM1/ZFP36/CD68/LBP/ASS1/SELENOS/CD180/IRAK2/PTPN22/EDNRB/IL6/TLR4/TLR2/CXCL9/AKT1/BCL10/NFKBIZ/TNIP1/TRIM41/ANKRD1/PDCD4/IL18/PRKCA/LY96/SPON2/IL24/CAPN2/CXCL3/CXCL1/ZC3H12A/HMGB2/CSF2/NOS3/ABCA1/AXL/PRDX2/ADAM9/TNIP2/CXCL8/CD14/PRKCE/CEBPB/RELA/IRAK1/SIGIRR/BCR/PLSCR3/LITAF/HMGB1/CD55/ARID5A/SRC/PDCD1LG2/SIRPA/CARD16/TNF/LILRA2/TICAM2/LYN/MRC1/CCL5",94
"GO:0035051","GO:0035051","cardiocyte differentiation","71/5716","161/18614",0.00022149468809254,0.00231203059161531,0.00158891780692495,"ISL1/IGF1/MEF2A/TGFBR3/CDC42/SEMA3C/RARB/ACTN2/EDN1/MEF2C/TGFB2/MAPK1/JAG1/BMPR1A/DKK1/FOLR1/SOX6/BVES/VEGFA/TBX18/PDGFRB/HES1/ACVR1/FHL2/RGS2/RGS4/ADRA1A/TBX2/INHBA/OBSL1/PARP2/MYH11/PDGFRA/AGT/PRICKLE1/MYOCD/GATA6/ARRB2/SIK1/EGFR/ITGB1/PDCD4/AKAP6/EDNRA/ADPRHL1/SORBS2/CXADR/FZD7/NRG1/ACTC1/G6PD/LMNA/VCAM1/SGCB/PDLIM5/SPRY1/GPER1/MESP1/GREM1/SHOX2/CDK1/AKAP13/PLEC/CALR/NEB/WT1/PPARA/NRAP/DLL1/ALPK2/SOX18",71
"GO:0032231","GO:0032231","regulation of actin filament bundle assembly","51/5716","108/18614",0.000224728645010746,0.00234198571704878,0.00160950414016056,"CX3CL1/ARHGEF5/ROCK1/PFN2/CDC42/FERMT2/ARHGEF10L/RAPGEF3/ASAP3/PXN/NRP1/CORO2B/TJP1/SFRP1/ARHGEF10/MET/LIMK1/TGFBR1/TESK1/PFN1/TACR1/ALMS1/STMN1/APOA1/CCN2/SORBS3/SDC4/SWAP70/FHOD1/TPM1/BBS4/PHLDB2/EPHA1/PAK1/RHOC/RHPN1/SHANK1/DLC1/SMAD3/MTSS1/S1PR1/SYNPO/SYNPO2/PPM1E/ACTG1/TACSTD2/NF2/CD47/FLNA/S100A10/SHANK3",51
"GO:0031663","GO:0031663","lipopolysaccharide-mediated signaling pathway","34/5716","65/18614",0.0002266353002313,0.00235422452421205,0.00161791512689567,"CX3CL1/MAPK1/NFKBIA/RIPK2/CARD8/CCL2/SASH1/TNFAIP3/IL1B/TICAM1/LBP/CD180/IRAK2/PTPN22/TLR4/TLR2/AKT1/BCL10/IL18/PRKCA/LY96/NOS3/PRDX2/CD14/PRKCE/IRAK1/SIGIRR/CD55/CARD16/TNF/LILRA2/TICAM2/LYN/CCL5",34
"GO:0032507","GO:0032507","maintenance of protein location in cell","34/5716","65/18614",0.0002266353002313,0.00235422452421205,0.00161791512689567,"TMSB10/HSPA5/SP100/KDELR3/SUN2/TSPO/ARL2BP/GRIK5/CAV1/ANKRD13C/SRGN/VPS13C/SYNE1/DZIP1/OS9/KDELR2/TXN/TAF8/BBS4/PML/AKT1/GSN/HK1/TMSB15A/TMSB15B/PINK1/HK2/CDK5/TAF3/PDIA2/INSIG1/TMSB4X/TWF2/TMSB15C",34
"GO:0051783","GO:0051783","regulation of nuclear division","65/5716","145/18614",0.000228067119677988,0.00236527674117655,0.00162551064245873,"IGF1/SPDL1/CUL7/SIRT2/CDC42/RPS6KA2/EDN1/NDC80/BIRC5/PDGFB/CAV2/RAD51AP1/TTK/PDGFRB/WNT5A/IL1A/NEK2/CENPF/UBE2B/DUSP1/MSX2/ZWINT/OBSL1/EREG/IL1B/XRCC3/DLGAP5/LIF/CCNB1/CDCA8/ESPL1/USP44/CDK5RAP2/NUSAP1/KIF20B/EGF/NUF2/MKI67/INCENP/SPC25/FBXO43/BUB1B/CDC25C/NPR2/SPC24/MSX1/TGFA/MAD2L1/PLK1/IGF2/DAPK3/BUB1/BTC/TOM1L2/SPHK1/HASPIN/AURKB/CALR/EPGN/PLCB1/KNTC1/CDCA2/ANAPC7/TNF/PDXP",65
"GO:0050922","GO:0050922","negative regulation of chemotaxis","36/5716","70/18614",0.00023328278939116,0.00241547236036257,0.00166000703426407,"SEMA3B/ST6GAL1/SEMA3A/SEMA3C/SEMA5B/ANGPT2/SEMA6A/NRP1/RIN3/C5/WNT3/CCL2/SEMA5A/WNT5A/PADI2/DUSP1/TNFAIP6/GPR18/PLXNA3/C5AR2/SEMA4F/CCN3/THBS1/SEMA6D/SEMA7A/SEMA6C/PTPRO/SEMA3D/SLAMF8/NBL1/MICOS10-NBL1/GREM1/SEMA3E/SEMA4B/SLIT1/SEMA4D",36
"GO:0048644","GO:0048644","muscle organ morphogenesis","40/5716","80/18614",0.000235072243536725,0.00242007546233669,0.00166317046589006,"ISL1/FOXC1/PKP2/COL11A1/MYLK/TGFBR3/TGFB2/DSP/SMAD7/TGFBR1/ENG/BMPR1A/HAND1/WNT5A/SERP1/MED1/LIF/TNNI3/TPM1/ANKRD1/ARID5B/EDNRA/POU4F1/NRG1/FZD1/ACTC1/COL3A1/SHOX2/ZFPM2/S1PR1/EFEMP2/HEG1/FOXC2/ZFPM1/FZD2/NOG/ADARB1/RYR2/SMTNL1/CNTF",40
"GO:0048844","GO:0048844","artery morphogenesis","40/5716","80/18614",0.000235072243536725,0.00242007546233669,0.00166317046589006,"FOXC1/PRDM1/MYLK/NOTCH3/EDN1/TGFB2/NRP1/JAG1/SMAD7/COMP/TGFBR1/ENG/BMPR1A/FOLR1/MDK/VEGFA/PDGFRB/HES1/PRRX1/AKT3/PKD2/TBX2/LRP1/SIX1/LDLR/APOE/STRA6/ACVRL1/MYOCD/FKBP10/EDNRA/TGFBR2/ADAMTS9/HEY1/COL3A1/EFEMP2/FOXC2/NOG/ARID2/GJA5",40
"GO:0051966","GO:0051966","regulation of synaptic transmission, glutamatergic","40/5716","80/18614",0.000235072243536725,0.00242007546233669,0.00166317046589006,"CACNG3/ATP1A2/SYT1/PTGS2/CACNG5/CACNG4/PSEN1/MEF2C/DKK1/CCL2/RAB3GAP1/KMO/PLPPR4/TSHZ3/GRM4/UNC13A/GLUL/SERPINE2/STXBP1/CACNG8/DGKZ/HOMER1/TPRG1L/DISC1/ADORA1/GRIK3/GRM2/GRIK2/CDK5/ROR2/CDH2/GRIK1/OXTR/GRIN2A/PLA2G6/RELN/NLGN3/NTRK1/TNF/SHANK3",40
"GO:0048146","GO:0048146","positive regulation of fibroblast proliferation","29/5716","53/18614",0.000235232840429305,0.00242007546233669,0.00166317046589006,"IGF1/NGFR/FOSL2/PDGFB/E2F1/CDK6/PDGFRB/WNT5A/FN1/CDKN1A/EREG/LIF/CCNB1/PDGFRA/AGT/DHX9/RNASEH2B/PML/CCNA2/PDGFC/EGFR/CD248/SPHK1/JUN/GAS6/PDGFA/S100A6/AQP1/ITGB3",29
"GO:0043536","GO:0043536","positive regulation of blood vessel endothelial cell migration","38/5716","75/18614",0.000235880894400758,0.00242286605590555,0.00166508827088344,"PIK3C2A/MAP2K3/HDAC9/HDAC7/PTGS2/FGFR1/NRP1/HMOX1/PDGFB/HIF1A/SRPX2/HSPB1/VEGFA/AKT3/STAT5A/KDR/ETS1/ANXA1/P2RX4/FGFBP1/THBS1/AKT1/PLK2/VEGFC/ANGPT1/PRKCA/FGF18/NOS3/FOXC2/GATA2/PRKD1/CIB1/SP1/HMGB1/MAP3K3/TMSB4X/MIR27B/MIR221",38
"GO:0003333","GO:0003333","amino acid transmembrane transport","49/5716","103/18614",0.000237032966650557,0.00242694582096032,0.00166789204491961,"SLC7A2/SLC25A13/SLC7A14/SLC38A5/ATP1A2/SLC66A1/SLC1A3/PSEN1/NTSR1/SLC38A7/SLC7A5/SLC17A7/SLC1A1/SFXN3/SLC6A12/SLC16A10/SLC1A4/RGS2/RGS4/SLC7A10/PER2/AGT/LRRC8A/SLC38A4/SLC15A4/SLC7A1/SLC38A6/SLC47A1/ARL6IP5/SLC16A2/SLC43A1/ITGB1/SLC7A11/SLC7A7/SFXN2/SLC38A10/SLC7A3/SLC38A8/SLC43A2/LRRC8E/LRRC8C/SLC66A1L/SLC25A18/SLC6A9/SLC25A29/SLC22A4/TNF/PRAF2/SLC7A5P1",49
"GO:0019233","GO:0019233","sensory perception of pain","49/5716","103/18614",0.000237032966650557,0.00242694582096032,0.00166789204491961,"FYN/ACP3/PTGS2/MGLL/EDN1/LXN/P2RX7/BDKRB1/NTSR1/CHRNA4/CXCL12/CCL2/IL1A/TACR1/CXCR4/MMP24/HOXD1/ANO1/SPX/P2RX4/EDNRB/CCN3/ARRB2/SCN1A/PTGES/RETREG1/GIP/ACE/CHRNB2/PROK2/ADORA1/NPY1R/ITGA2/FABP5/CDK5/SCN3B/P2RY1/KCNA2/F2R/PENK/GRIN2A/POMK/BACE1/PRKAR1B/TMEM120A/MME/NTRK1/TNF/AQP1",49
"GO:0043523","GO:0043523","regulation of neuron apoptotic process","92/5716","219/18614",0.000245008256984524,0.00250461540923766,0.00172126962232622,"PLXND1/CRLF1/CX3CL1/ISL1/GRN/HIPK2/ROCK1/PSEN1/MEF2C/TGFB2/MSH2/NRP1/PLA2G3/HMOX1/LGMN/SIX4/HIF1A/MYBL2/TOX3/MAG/GRIK5/SLC1A1/GATA3/CCL2/WFS1/TRIM2/PPARGC1A/CCND1/MDK/NR3C1/CPEB4/GBE1/LANCL1/KIF14/CNTFR/STAMBP/GRM4/PRKCG/SIX1/KDR/APOE/NES/VSTM2L/NGF/IL6ST/EPHA7/FAIM2/STXBP1/TFAP2A/ARRB2/PARP1/DLX1/SNCA/RASA1/HYOU1/POU4F1/NR4A2/RETREG1/ANGPT1/PINK1/BTG2/G6PD/DRAXIN/CASP3/TERT/GRIK2/CDK5/NSMF/AXL/THAP11/GDNF/ITGAM/SEMA3E/BCL2L1/PRNP/CEBPB/CLCF1/NUPR1/BDNF/BOK/JUN/NQO1/F2R/NRBP2/BACE1/FZD9/SYNGAP1/NTRK1/ITGA1/TNF/CNTF/NEFL",92
"GO:0030099","GO:0030099","myeloid cell differentiation","163/5716","421/18614",0.000245841195576412,0.00250914109135925,0.00172437984800297,"CFLAR/HMGB3/ARID4A/GAB2/KITLG/HIPK2/SBNO2/TGFBR3/FSTL3/CDC42/WDR1/ACTN1/GPR137B/CEACAM1/PSEN1/OSTM1/MEF2C/KAT6A/TESC/RCOR1/TF/IL11/EFNA2/PLA2G3/MYH9/HIF1A/DHRS2/SRP54/NFKBIA/RASSF2/JAG1/KAT8/SFRP1/RELB/ERCC2/LILRB1/KLF1/CDK6/ITGB8/GATA3/SH3PXD2A/ZBTB16/CD81/TCIRG1/SH2B3/LTBR/TMEM14C/NEDD9/VEGFA/LOX/NR3C1/ID2/EPAS1/MYB/PTBP3/GPR68/ACVR2A/INHBA/NCKAP1L/PDE1B/TNFAIP6/BATF3/FAM210B/MT1G/MED1/THRA/CCR7/KLF2/ZFP36/LIF/LRRC17/ZBTB46/MEIS2/TSPAN2/NOTCH2/CD101/ETS1/TLR4/RIPK1/TLR2/LEF1/PML/TNFRSF11A/EPHA2/HAX1/PARP1/LBR/MEIS1/GPC3/TIRAP/PIP4K2A/FLI1/POU4F1/UBASH3B/PRKCA/LRRK1/GABPA/KLF10/PPARGC1B/CD109/IL34/H4C8/H4C15/RUNX1/G6PD/GAB3/FLVCR1/RBM15/TGFBR2/HMGB2/IL15/F2RL1/CASP3/CSF2/TNFRSF11B/SLC4A2/FBN1/BATF2/STAT3/INPP5D/ROR2/GPR183/FOS/OSCAR/JAGN1/JUNB/PIK3CD/CEBPB/RARG/STAT5B/NRROS/JUN/FAM20C/GATA2/ZFPM1/MTURN/TMEM64/FES/CSF1R/ANXA2/CSF1/CIB1/SOCS1/IRF7/ZFP36L1/IKZF1/FLNA/SIGLEC15/SRC/ZNF675/DLL1/PRMT6/L3MBTL3/GP1BB/MAFB/HSPA1B/HSPA1A/MIR221/TNF/BGLAP/EIF6/CEBPA/LYN",163
"GO:0002275","GO:0002275","myeloid cell activation involved in immune response","47/5716","98/18614",0.000248679205612987,0.00252607787060269,0.00173601946480971,"GRN/GAB2/SPHK2/SBNO2/STXBP2/IL4R/SNAP23/PLA2G3/HMOX1/CHGA/STX4/PIK3CG/PTGDS/CLNK/STXBP3/SLAMF1/NR4A3/IL13RA2/NMI/ADGRE2/TICAM1/RAC2/LBP/GRP/DYSF/STXBP1/ANXA3/FER/ENPP3/RABGEF1/ITGB2/F2RL1/SCNN1B/ITGAM/ADORA2B/PRKCE/PIK3CD/GATA2/FES/BCR/S100A13/SUCNR1/LAT/DNASE1/TNF/LILRA2/LYN",47
"GO:0072163","GO:0072163","mesonephric epithelium development","47/5716","98/18614",0.000248679205612987,0.00252607787060269,0.00173601946480971,"HOXA11/CRLF1/PKD1/FOXC1/RARB/ARG2/SIX4/SMAD7/SFRP1/TMEM59L/GATA3/VEGFA/FGF1/HES1/WNT6/SDC1/PKD2/SDC4/SOX9/PAX8/GZF1/SIX1/HOXD11/LAMA5/AGT/OSR1/GPC3/CER1/KIF26B/SPRY1/RET/ILK/GREM1/SMAD3/GDNF/NPNT/SIX2/FOXC2/BASP1/NOG/TACSTD2/WT1/PBX1/PTCH1/LGR4/FMN1/FOXD1",47
"GO:0072164","GO:0072164","mesonephric tubule development","47/5716","98/18614",0.000248679205612987,0.00252607787060269,0.00173601946480971,"HOXA11/CRLF1/PKD1/FOXC1/RARB/ARG2/SIX4/SMAD7/SFRP1/TMEM59L/GATA3/VEGFA/FGF1/HES1/WNT6/SDC1/PKD2/SDC4/SOX9/PAX8/GZF1/SIX1/HOXD11/LAMA5/AGT/OSR1/GPC3/CER1/KIF26B/SPRY1/RET/ILK/GREM1/SMAD3/GDNF/NPNT/SIX2/FOXC2/BASP1/NOG/TACSTD2/WT1/PBX1/PTCH1/LGR4/FMN1/FOXD1",47
"GO:0150146","GO:0150146","cell junction disassembly","18/5716","28/18614",0.000251760223925162,0.00255334107230094,0.00175475580281891,"CX3CL1/SNAI2/TGFBR1/DKK1/EPHA4/C3/C1QL1/ADGRB3/PLXNC1/PRICKLE1/IQSEC1/ITGB1/FER/CDK5/ARF6/MAPRE2/ITGAM/STON1",18
"GO:0098742","GO:0098742","cell-cell adhesion via plasma-membrane adhesion molecules","113/5716","278/18614",0.000254322562460313,0.00256461127448801,0.00176250112634864,"ITGA3/CX3CL1/CELSR3/PKD1/TENM1/CLDN11/CDH10/SDK2/CDH19/ADGRL1/PVR/CELSR1/KIFAP3/PTPN23/CEACAM1/FAT1/IGSF9/CEACAM6/FAT2/FXYD5/ICAM1/TGFB2/PCDH11Y/CDH20/PCDH11X/CEACAM5/MAG/CDH23/NECTIN1/MDGA1/PCDHB2/CDH6/PCDH12/ACVR1/IGSF21/APOA1/PCDH17/SLITRK3/MMP24/LRRC4/PALLD/CDH15/LRRC4B/CNTN6/PCDH8/IL1RN/KLF4/MAP2K5/MYPN/PCDH10/CLSTN3/AMIGO2/CDH13/CELSR2/HMCN1/SDK1/HMCN2/CDHR1/LRRC4C/ITGB1/CDH8/SPARCL1/ROBO4/ROBO3/CDH12/CXADR/PCDH1/NPTN/UNC5D/CLDN12/CLSTN2/ITGB2/ITGA5/NEXN/VCAM1/CADM3/TGFBR2/FAT3/LRFN5/RET/MAPK7/IL1RAPL1/ITGAM/ALCAM/CDH2/EMB/CLSTN1/DAB1/CADM2/AMIGO3/RIC8A/MYADM/CADM1/PCDH9/EFNA5/SLITRK2/CEACAM19/CLDN4/PCDH18/IL1RAP/FAT4/NTNG2/PLXNB2/DCHS2/PLXNB3/L1CAM/PSG5/MIR221/PSG2/PSG11/SCARF2/CLDN23/PCDH20",113
"GO:0002443","GO:0002443","leukocyte mediated immunity","156/5716","401/18614",0.000254829768191897,0.00256461127448801,0.00176250112634864,"C8B/TNFRSF1B/GAB2/C6/PARP3/TRAF3IP2/SPHK2/BCL3/RAB27A/WDR1/PVR/STXBP2/IL4R/CEACAM1/STX7/PTPRC/P2RX7/ICAM1/SNAP23/MSH2/PLA2G3/HMOX1/CHGA/JAG1/SMAD7/STX4/IL21R/LILRB1/PIK3CG/AHR/C5/RIGI/PTGDS/GATA3/PPP3CB/C1QBP/CLNK/UNC93B1/CD81/TCIRG1/ULBP1/CCR6/C7/C9/IL1R1/MSH6/STXBP3/RNF19B/SLAMF1/TNFSF4/NR4A3/CLU/NCKAP1L/IL13RA2/CXCL6/IL1B/CD70/C3/ADGRE2/GFER/TICAM1/RAC2/ULBP2/ULBP3/RFTN1/SWAP70/GRP/KLRC1/IL6/MYO1G/STXBP1/TLR4/ANXA3/C1RL/SLC15A4/ARRB2/VAV1/BCL10/LYST/NFKBIZ/SERPING1/CD226/IL18/FER/MR1/RABGEF1/RAET1L/PAXIP1/CD1D/C1R/ACE/SPON2/AIRE/ITGB2/SANBR/FZD5/PRKCD/RNF168/F2RL1/SVEP1/MBL2/SCNN1B/IL7R/IL12A/INPP5D/APLF/ITGAM/ADORA2B/JAGN1/PIK3CD/CLEC7A/STAT5B/EXO1/CLCF1/ATAD5/CD19/GATA2/C1S/FES/CADM1/SH2D1A/IRF7/LAMP1/BCR/ZP3/S100A13/HMGB1/CD55/ARID5A/GZMM/RAET1G/TAP2/AGER/MICB/MICA/HLA-C/HLA-E/HLA-G/HLA-F/CFI/KLRC3/HLA-A/IGHG1/LAT/DNASE1/SCART1/HLA-DPB1/C4B/HLA-DPA1/TNF/HLA-B/HLA-DMB/TICAM2/C4A/LYN/CLEC12B",156
"GO:0000727","GO:0000727","double-strand break repair via break-induced replication","10/5716","12/18614",0.000254865723856585,0.00256461127448801,0.00176250112634864,"MCM2/CDC45/CDC7/MCM5/MCM4/MCM3/GINS2/GINS4/MCM7/MUS81",10
"GO:0036363","GO:0036363","transforming growth factor beta activation","10/5716","12/18614",0.000254865723856585,0.00256461127448801,0.00176250112634864,"LTBP1/ITGB8/LRRC32/ITGAV/FURIN/GATA6/LTBP3/TNXB/NRROS/PSG9",10
"GO:0043589","GO:0043589","skin morphogenesis","10/5716","12/18614",0.000254865723856585,0.00256461127448801,0.00176250112634864,"TP63/PSEN1/ITGA6/COL1A1/ERRFI1/AHDC1/ITGB4/ITGA2/COL1A2/CDSN",10
"GO:0002718","GO:0002718","regulation of cytokine production involved in immune response","55/5716","119/18614",0.000260917253115409,0.00262140302739387,0.00180153063910935,"TNFRSF1B/SPHK2/P2RX7/TGFB2/HMOX1/SMAD7/ACP5/SLC7A5/RIPK2/LILRB1/NOD1/RIGI/GATA3/CLNK/PANX1/CD81/WNT5A/IL1R1/SLAMF1/TNFSF4/APOA1/NR4A3/IL1B/TICAM1/IL6/TLR4/SEMA7A/BCL10/CD226/IL18/ANGPT1/RABGEF1/HK1/TNFRSF14/SPON2/NLRX1/LAPTM5/MAPKAPK2/FZD5/F2RL1/AXL/CLEC7A/LACC1/LITAF/CD55/ARID5A/UBE2J1/RAET1G/HLA-E/HLA-G/HLA-F/HLA-A/TNF/TICAM2/TRIL",55
"GO:0043010","GO:0043010","camera-type eye development","134/5716","338/18614",0.000265959486106551,0.00266789312896275,0.00183348045434814,"VIM/BAK1/RCN1/LAMC3/FOXC1/PRDM1/ATP2B4/CDON/HIPK2/SDK2/ATP2B1/CRYBG3/PSEN1/FAT1/XRN2/TGFB2/NRP1/CRYBB1/HIF1A/JAG1/LAMA1/FLT1/HSF4/PPP1R13L/SLC17A7/TSPAN12/SLC1A1/TGFBR1/GATA3/B9D1/NAGLU/CRYAB/NECTIN1/TCIRG1/WNT5B/CDKN1B/VEGFA/PDGFRB/WNT5A/HES1/ACVR2B/EFEMP1/WNT6/RAB3GAP1/DLX2/TGIF2/RDH10/TBX2/INHBA/NDP/SOX9/MED1/BFSP1/BCL11B/KDR/TWSG1/NES/PDE6A/PDE6B/NOTCH2/RAX/PDGFRA/SPRY2/KLF4/TFAP2A/FOXF2/STRA6/BCAR3/IFT172/CYP1B1/SIX3/RBP4/BMPR1B/PRICKLE1/ACVRL1/SCAPER/BBS4/CYP1A1/EPHA2/BARHL2/WNT9A/MEIS1/DLX1/COL8A1/SDK1/EGFR/SHROOM2/VAX1/ROM1/SLC7A11/CACNA1C/WNT7A/MEGF11/CRYAA/AQP5/NEUROD1/FZD5/HIPK1/TGFBR2/SPRY1/FAT3/VSTM4/RET/SPRED1/FBN1/TUB/TMEM135/SMAD3/STAT3/CLIC4/COL8A2/LAMB2/RARG/PLAAT3/FOXC2/SOX11/JUN/TH/SOX1/ALDH1A3/SLITRK6/WT1/NF2/KRT12/COL4A1/WNT7B/SPRED3/TDRD7/HES5/DLL1/CRYGS/MFRP/AQP1/CNTF",134
